Accession (Identificador),Begin (Inicio de la trasnscripción),End (final de la transcripción),Orientation,Name (Alias),Symbol,Gene Type,Protein accession (Posible identificador de la proteína),Protein name (Product),Protein length,Locus tag
NZ_CP009124.1,2231358,2232194,plus,glutamate ABC transporter substrate-binding protein,,protein-coding,WP_003973247.1,glutamate ABC transporter substrate-binding protein,278,SLIV_RS09770
NZ_CP009124.1,2232279,2232947,plus,amino acid ABC transporter permease,,protein-coding,WP_003973248.1,amino acid ABC transporter permease,222,SLIV_RS09775
NZ_CP009124.1,2232944,2233831,plus,amino acid ABC transporter permease,,protein-coding,WP_016327419.1,amino acid ABC transporter permease,295,SLIV_RS09780
NZ_CP009124.1,2234017,2235642,plus,FAD-dependent monooxygenase,,protein-coding,WP_016327418.1,FAD-dependent monooxygenase,541,SLIV_RS09785
NZ_CP009124.1,2235802,2235873,plus,putative leader peptide,,protein-coding,WP_316247164.1,putative leader peptide,23,SLIV_RS41025
NZ_CP009124.1,2235955,2236509,plus,cysteine dioxygenase,,protein-coding,WP_003973251.1,cysteine dioxygenase,184,SLIV_RS09790
NZ_CP009124.1,2236506,2236904,plus,rhodanese-like domain-containing protein,,protein-coding,WP_003973252.1,rhodanese-like domain-containing protein,132,SLIV_RS09795
NZ_CP009124.1,2236898,2237116,minus,hypothetical protein,,protein-coding,WP_003973253.1,hypothetical protein,72,SLIV_RS38135
NZ_CP009124.1,2237261,2238043,minus,recombination regulator RecX,recX,protein-coding,WP_016327417.1,recombination regulator RecX,260,SLIV_RS09800
NZ_CP009124.1,2238047,2239171,minus,recombinase RecA,recA,protein-coding,WP_003973255.1,recombinase RecA,374,SLIV_RS09805
NZ_CP009124.1,2239460,2239660,plus,type II toxin-antitoxin system VapB family antitoxin,,protein-coding,WP_003973256.1,type II toxin-antitoxin system VapB family antitoxin,66,SLIV_RS09810
NZ_CP009124.1,2239803,2241122,minus,AI-2E family transporter,,protein-coding,WP_186009695.1,AI-2E family transporter,439,SLIV_RS09815
NZ_CP009124.1,2241183,2241377,minus,DUF3046 domain-containing protein,,protein-coding,WP_003973258.1,DUF3046 domain-containing protein,64,SLIV_RS09820
NZ_CP009124.1,2241459,2242427,plus,hypothetical protein,,protein-coding,WP_003973259.1,hypothetical protein,322,SLIV_RS09825
NZ_CP009124.1,2242437,2242745,minus,AzlD domain-containing protein,,protein-coding,WP_003973260.1,AzlD domain-containing protein,102,SLIV_RS09830
NZ_CP009124.1,2242742,2243512,minus,AzlC family ABC transporter permease,,protein-coding,WP_003973261.1,AzlC family ABC transporter permease,256,SLIV_RS09835
NZ_CP009124.1,2243509,2244375,minus,AraC family transcriptional regulator,,protein-coding,WP_003973262.1,AraC family transcriptional regulator,288,SLIV_RS09840
NZ_CP009124.1,2244568,2249640,plus,ATP-dependent helicase,,protein-coding,WP_038534330.1,ATP-dependent helicase,1690,SLIV_RS09845
NZ_CP009124.1,2249659,2250489,plus,Fpg/Nei family DNA glycosylase,,protein-coding,WP_003973264.1,Fpg/Nei family DNA glycosylase,276,SLIV_RS09850
NZ_CP009124.1,2250527,2251012,minus,SRPBCC family protein,,protein-coding,WP_003973265.1,SRPBCC family protein,161,SLIV_RS09855
NZ_CP009124.1,2251009,2251398,minus,ArsR/SmtB family transcription factor,,protein-coding,WP_016327415.1,ArsR/SmtB family transcription factor,129,SLIV_RS09860
NZ_CP009124.1,2251439,2251705,minus,hypothetical protein,,protein-coding,WP_003973267.1,hypothetical protein,88,SLIV_RS09865
NZ_CP009124.1,2251712,2252182,minus,Dps family protein,,protein-coding,WP_003973268.1,Dps family protein,156,SLIV_RS09870
NZ_CP009124.1,2252387,2252767,minus,helix-turn-helix domain-containing protein,,protein-coding,WP_003973269.1,helix-turn-helix domain-containing protein,126,SLIV_RS09875
NZ_CP009124.1,2252877,2253422,minus,CinA family protein,,protein-coding,WP_003973270.1,CinA family protein,181,SLIV_RS09880
NZ_CP009124.1,2253419,2254210,minus,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,pgsA,protein-coding,WP_003973271.1,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,263,SLIV_RS09885
NZ_CP009124.1,2254207,2255688,minus,30S ribosomal protein S12 methylthiotransferase RimO,rimO,protein-coding,WP_003973272.1,30S ribosomal protein S12 methylthiotransferase RimO,493,SLIV_RS09890
NZ_CP009124.1,2255780,2256643,minus,helix-turn-helix domain-containing protein,,protein-coding,WP_003973273.1,helix-turn-helix domain-containing protein,287,SLIV_RS09895
NZ_CP009124.1,2256947,2259700,minus,DNA translocase FtsK,,protein-coding,WP_003973274.1,DNA translocase FtsK,917,SLIV_RS09900
NZ_CP009124.1,2259903,2260577,minus,response regulator,,protein-coding,WP_003973275.1,response regulator,224,SLIV_RS09905
NZ_CP009124.1,2261079,2266568,minus,HAMP domain-containing protein,,protein-coding,WP_011030433.1,HAMP domain-containing protein,1829,SLIV_RS09910
NZ_CP009124.1,2266977,2269727,plus,SpoIIE family protein phosphatase,,protein-coding,WP_003973277.1,SpoIIE family protein phosphatase,916,SLIV_RS09915
NZ_CP009124.1,2269774,2269849,minus,tRNA-Thr,,tRNA,,,,SLIV_RS09920
NZ_CP009124.1,2269932,2270594,minus,DegT/DnrJ/EryC1/StrS family aminotransferase,,protein-coding,WP_016327412.1,DegT/DnrJ/EryC1/StrS family aminotransferase,220,SLIV_RS09925
NZ_CP009124.1,2270711,2270827,minus,5S ribosomal RNA,rrf,rRNA,,,,SLIV_RS09930
NZ_CP009124.1,2270912,2274032,minus,23S ribosomal RNA,,rRNA,,,,SLIV_RS09935
NZ_CP009124.1,2274311,2275837,minus,16S ribosomal RNA,,rRNA,,,,SLIV_RS09940
NZ_CP009124.1,2276338,2278023,minus,ribonuclease J,,protein-coding,WP_003973282.1,ribonuclease J,561,SLIV_RS09945
NZ_CP009124.1,2278176,2279075,minus,4-hydroxy-tetrahydrodipicolinate synthase,dapA,protein-coding,WP_003973283.1,4-hydroxy-tetrahydrodipicolinate synthase,299,SLIV_RS09950
NZ_CP009124.1,2279293,2280033,minus,FAD-dependent thymidylate synthase,thyX,protein-coding,WP_003973284.1,FAD-dependent thymidylate synthase,246,SLIV_RS09955
NZ_CP009124.1,2280225,2280464,plus,hypothetical protein,,protein-coding,WP_003973285.1,hypothetical protein,79,SLIV_RS09960
NZ_CP009124.1,2280581,2281135,plus,hypothetical protein,,protein-coding,WP_003973286.1,hypothetical protein,184,SLIV_RS09965
NZ_CP009124.1,2281211,2281666,minus,hypothetical protein,,protein-coding,WP_003973287.1,hypothetical protein,151,SLIV_RS09970
NZ_CP009124.1,2281680,2282432,minus,4-hydroxy-tetrahydrodipicolinate reductase,dapB,protein-coding,WP_003973288.1,4-hydroxy-tetrahydrodipicolinate reductase,250,SLIV_RS09975
NZ_CP009124.1,2282458,2283837,minus,M16 family metallopeptidase,,protein-coding,WP_003973289.1,M16 family metallopeptidase,459,SLIV_RS09980
NZ_CP009124.1,2283834,2286053,minus,polyribonucleotide nucleotidyltransferase,,protein-coding,WP_003973290.1,polyribonucleotide nucleotidyltransferase,739,SLIV_RS09985
NZ_CP009124.1,2286338,2286625,minus,30S ribosomal protein S15,rpsO,protein-coding,WP_003973291.1,30S ribosomal protein S15,95,SLIV_RS09990
NZ_CP009124.1,2286910,2287206,plus,DUF397 domain-containing protein,,protein-coding,WP_003973292.1,DUF397 domain-containing protein,98,SLIV_RS09995
NZ_CP009124.1,2287297,2288814,minus,type VII secretion integral membrane protein EccD,eccD,protein-coding,WP_003973293.1,type VII secretion integral membrane protein EccD,505,SLIV_RS10000
NZ_CP009124.1,2289137,2293114,plus,type VII secretion protein EccC,,protein-coding,WP_003973294.1,type VII secretion protein EccC,1325,SLIV_RS10005
NZ_CP009124.1,2293229,2293528,minus,WXG100 family type VII secretion target,,protein-coding,WP_003973295.1,WXG100 family type VII secretion target,99,SLIV_RS10010
NZ_CP009124.1,2293590,2293937,minus,WXG100 family type VII secretion target,,protein-coding,WP_003973296.1,WXG100 family type VII secretion target,115,SLIV_RS10015
NZ_CP009124.1,2293994,2295283,minus,S8 family serine peptidase,,protein-coding,WP_016327408.1,S8 family serine peptidase,429,SLIV_RS10020
NZ_CP009124.1,2295308,2297002,minus,WXG100 family type VII secretion target,,protein-coding,WP_003973298.1,WXG100 family type VII secretion target,564,SLIV_RS38150
NZ_CP009124.1,2297005,2297451,minus,hypothetical protein,,protein-coding,WP_016327407.1,hypothetical protein,148,SLIV_RS10025
NZ_CP009124.1,2297801,2298418,minus,hypothetical protein,,protein-coding,WP_016327406.1,hypothetical protein,205,SLIV_RS10030
NZ_CP009124.1,2298686,2299198,plus,hypothetical protein,,protein-coding,WP_003973301.1,hypothetical protein,170,SLIV_RS10035
NZ_CP009124.1,2299274,2301586,plus,hypothetical protein,,protein-coding,WP_003973302.1,hypothetical protein,770,SLIV_RS10040
NZ_CP009124.1,2301590,2302216,plus,hypothetical protein,,protein-coding,WP_003973303.1,hypothetical protein,208,SLIV_RS39810
NZ_CP009124.1,2302384,2303076,plus,hypothetical protein,,protein-coding,WP_234308223.1,hypothetical protein,230,SLIV_RS39335
NZ_CP009124.1,2303196,2304428,minus,type VII secretion-associated serine protease mycosin,mycP,protein-coding,WP_030872304.1,type VII secretion-associated serine protease mycosin,410,SLIV_RS10050
NZ_CP009124.1,2304494,2306020,minus,type VII secretion protein EccB,eccB,protein-coding,WP_003973306.1,type VII secretion protein EccB,508,SLIV_RS10055
NZ_CP009124.1,2306165,2307496,plus,type VII secretion protein EccE,eccE,protein-coding,WP_003973307.1,type VII secretion protein EccE,443,SLIV_RS10060
NZ_CP009124.1,2307496,2308272,plus,hypothetical protein,,protein-coding,WP_003973308.1,hypothetical protein,258,SLIV_RS10065
NZ_CP009124.1,2308561,2311797,plus,SCO5717 family growth-regulating ATPase,,protein-coding,WP_038534337.1,SCO5717 family growth-regulating ATPase,1078,SLIV_RS10070
NZ_CP009124.1,2312100,2313965,plus,ABC transporter substrate-binding protein,,protein-coding,WP_003973310.1,ABC transporter substrate-binding protein,621,SLIV_RS10075
NZ_CP009124.1,2313958,2315004,plus,ABC transporter permease,,protein-coding,WP_003973311.1,ABC transporter permease,348,SLIV_RS10080
NZ_CP009124.1,2315001,2315954,plus,ABC transporter permease,,protein-coding,WP_003973312.1,ABC transporter permease,317,SLIV_RS10085
NZ_CP009124.1,2315951,2317147,plus,ABC transporter ATP-binding protein,,protein-coding,WP_003973313.1,ABC transporter ATP-binding protein,398,SLIV_RS10090
NZ_CP009124.1,2317144,2318211,plus,ABC transporter ATP-binding protein,,protein-coding,WP_003973314.1,ABC transporter ATP-binding protein,355,SLIV_RS10095
NZ_CP009124.1,2318326,2319282,minus,bifunctional riboflavin kinase/FAD synthetase,,protein-coding,WP_003973315.1,bifunctional riboflavin kinase/FAD synthetase,318,SLIV_RS10100
NZ_CP009124.1,2319426,2323562,minus,trypsin-like peptidase domain-containing protein,,protein-coding,WP_038534339.1,trypsin-like peptidase domain-containing protein,1378,SLIV_RS10105
NZ_CP009124.1,2323818,2324723,minus,tRNA pseudouridine(55) synthase TruB,truB,protein-coding,WP_003973317.1,tRNA pseudouridine(55) synthase TruB,301,SLIV_RS10110
NZ_CP009124.1,2324720,2325202,minus,30S ribosome-binding factor RbfA,rbfA,protein-coding,WP_003973318.1,30S ribosome-binding factor RbfA,160,SLIV_RS10115
NZ_CP009124.1,2325287,2325580,minus,DUF503 domain-containing protein,,protein-coding,WP_003973319.1,DUF503 domain-containing protein,97,SLIV_RS10120
NZ_CP009124.1,2325732,2328833,minus,translation initiation factor IF-2,infB,protein-coding,WP_003973320.1,translation initiation factor IF-2,1033,SLIV_RS38155
NZ_CP009124.1,2328995,2329300,minus,YlxR family protein,,protein-coding,WP_003973321.1,YlxR family protein,101,SLIV_RS10130
NZ_CP009124.1,2329403,2330425,minus,transcription termination factor NusA,nusA,protein-coding,WP_003973322.1,transcription termination factor NusA,340,SLIV_RS10135
NZ_CP009124.1,2330428,2330961,minus,ribosome maturation factor RimP,rimP,protein-coding,WP_003973323.1,ribosome maturation factor RimP,177,SLIV_RS10140
NZ_CP009124.1,2331396,2331959,plus,hypothetical protein,,protein-coding,WP_003973324.1,hypothetical protein,187,SLIV_RS10145
NZ_CP009124.1,2331963,2332466,plus,ferritin-like domain-containing protein,,protein-coding,WP_003973325.1,ferritin-like domain-containing protein,167,SLIV_RS10150
NZ_CP009124.1,2332506,2333405,plus,aminoglycoside phosphotransferase family protein,,protein-coding,WP_003973326.1,aminoglycoside phosphotransferase family protein,299,SLIV_RS10155
NZ_CP009124.1,2333979,2335682,minus,proline--tRNA ligase,,protein-coding,WP_003973327.1,proline--tRNA ligase,567,SLIV_RS10160
NZ_CP009124.1,2335756,2336298,minus,GNAT family N-acetyltransferase,,protein-coding,WP_003973328.1,GNAT family N-acetyltransferase,180,SLIV_RS10165
NZ_CP009124.1,2336357,2337205,minus,GNAT family N-acetyltransferase,,protein-coding,WP_030873433.1,GNAT family N-acetyltransferase,282,SLIV_RS10170
NZ_CP009124.1,2337492,2338649,minus,flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase,ispG,protein-coding,WP_003973330.1,flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase,385,SLIV_RS10175
NZ_CP009124.1,2338845,2340137,minus,M50 family metallopeptidase,,protein-coding,WP_003973331.1,M50 family metallopeptidase,430,SLIV_RS10180
NZ_CP009124.1,2340146,2341402,minus,1-deoxy-D-xylulose-5-phosphate reductoisomerase,dxr,protein-coding,WP_003973332.1,1-deoxy-D-xylulose-5-phosphate reductoisomerase,418,SLIV_RS10185
NZ_CP009124.1,2341528,2343504,minus,acyl-CoA dehydrogenase family protein,,protein-coding,WP_003973333.1,acyl-CoA dehydrogenase family protein,658,SLIV_RS10190
NZ_CP009124.1,2343797,2344810,plus,LacI family DNA-binding transcriptional regulator,,protein-coding,WP_003973334.1,LacI family DNA-binding transcriptional regulator,337,SLIV_RS10195
NZ_CP009124.1,2344952,2345686,minus,glycoside hydrolase family 12 protein,,protein-coding,WP_003973335.1,glycoside hydrolase family 12 protein,244,SLIV_RS10200
NZ_CP009124.1,2345725,2347968,minus,glycosyl hydrolase family 95 catalytic domain-containing protein,,protein-coding,WP_003973336.1,glycosyl hydrolase family 95 catalytic domain-containing protein,747,SLIV_RS10205
NZ_CP009124.1,2347965,2349935,minus,beta-galactosidase,,protein-coding,WP_016327393.1,beta-galactosidase,656,SLIV_RS10210
NZ_CP009124.1,2349935,2350849,minus,carbohydrate ABC transporter permease,,protein-coding,WP_046247812.1,carbohydrate ABC transporter permease,304,SLIV_RS10215
NZ_CP009124.1,2350903,2351943,minus,ABC transporter permease,,protein-coding,WP_003973339.1,ABC transporter permease,346,SLIV_RS10220
NZ_CP009124.1,2351971,2353656,minus,extracellular solute-binding protein,,protein-coding,WP_003973340.1,extracellular solute-binding protein,561,SLIV_RS10225
NZ_CP009124.1,2353906,2356788,plus,glycoside hydrolase family 3 C-terminal domain-containing protein,,protein-coding,WP_003973341.1,glycoside hydrolase family 3 C-terminal domain-containing protein,960,SLIV_RS10230
NZ_CP009124.1,2356830,2357543,minus,response regulator,,protein-coding,WP_037667227.1,response regulator,237,SLIV_RS10235
NZ_CP009124.1,2357540,2358736,minus,sensor histidine kinase,,protein-coding,WP_011030388.1,sensor histidine kinase,398,SLIV_RS10240
NZ_CP009124.1,2358879,2360012,plus,glycosyltransferase 87 family protein,,protein-coding,WP_051957415.1,glycosyltransferase 87 family protein,377,SLIV_RS10245
NZ_CP009124.1,2360009,2361184,plus,glycosyltransferase family 4 protein,,protein-coding,WP_003973344.1,glycosyltransferase family 4 protein,391,SLIV_RS10250
NZ_CP009124.1,2361210,2361623,plus,cytidine deaminase,,protein-coding,WP_016327388.1,cytidine deaminase,137,SLIV_RS10255
NZ_CP009124.1,2361633,2363078,minus,aldehyde dehydrogenase family protein,,protein-coding,WP_003973346.1,aldehyde dehydrogenase family protein,481,SLIV_RS10260
NZ_CP009124.1,2363222,2364889,minus,PucR family transcriptional regulator,,protein-coding,WP_003973347.1,PucR family transcriptional regulator,555,SLIV_RS10265
NZ_CP009124.1,2365053,2367188,minus,ATP-binding protein,,protein-coding,WP_038534346.1,ATP-binding protein,711,SLIV_RS10270
NZ_CP009124.1,2367442,2368776,plus,4-aminobutyrate--2-oxoglutarate transaminase,gabT,protein-coding,WP_003973349.1,4-aminobutyrate--2-oxoglutarate transaminase,444,SLIV_RS10275
NZ_CP009124.1,2369174,2370007,minus,tetratricopeptide repeat protein,,protein-coding,WP_016327384.1,tetratricopeptide repeat protein,277,SLIV_RS10280
NZ_CP009124.1,2370052,2370756,plus,phosphatase PAP2 family protein,,protein-coding,WP_046247811.1,phosphatase PAP2 family protein,234,SLIV_RS10285
NZ_CP009124.1,2370695,2372512,minus,chitinase,,protein-coding,WP_003973352.1,chitinase,605,SLIV_RS10290
NZ_CP009124.1,2372669,2373127,minus,hypothetical protein,,protein-coding,WP_016327382.1,hypothetical protein,152,SLIV_RS10295
NZ_CP009124.1,2373250,2374677,minus,NAD(P)/FAD-dependent oxidoreductase,,protein-coding,WP_016327381.1,NAD(P)/FAD-dependent oxidoreductase,475,SLIV_RS10300
NZ_CP009124.1,2374713,2375513,minus,ABC transporter permease,,protein-coding,WP_003973355.1,ABC transporter permease,266,SLIV_RS10305
NZ_CP009124.1,2375514,2376443,minus,ABC transporter permease,,protein-coding,WP_011030376.1,ABC transporter permease,309,SLIV_RS10310
NZ_CP009124.1,2376443,2377636,minus,ABC transporter ATP-binding protein,,protein-coding,WP_003973357.1,ABC transporter ATP-binding protein,397,SLIV_RS10315
NZ_CP009124.1,2377642,2378889,minus,polyamine ABC transporter substrate-binding protein,,protein-coding,WP_003973358.1,polyamine ABC transporter substrate-binding protein,415,SLIV_RS10320
NZ_CP009124.1,2378954,2380489,minus,gamma-aminobutyraldehyde dehydrogenase,,protein-coding,WP_003973359.1,gamma-aminobutyraldehyde dehydrogenase,511,SLIV_RS10325
NZ_CP009124.1,2380668,2381309,plus,NADAR family protein,,protein-coding,WP_016327379.1,NADAR family protein,213,SLIV_RS10330
NZ_CP009124.1,2381377,2381826,minus,DUF4190 domain-containing protein,,protein-coding,WP_003973361.1,DUF4190 domain-containing protein,149,SLIV_RS10335
NZ_CP009124.1,2381885,2382565,minus,DUF4190 domain-containing protein,,protein-coding,WP_003973362.1,DUF4190 domain-containing protein,226,SLIV_RS10340
NZ_CP009124.1,2382622,2383785,plus,adenosine deaminase,,protein-coding,WP_003973363.1,adenosine deaminase,387,SLIV_RS10345
NZ_CP009124.1,2383801,2384514,plus,glycerophosphodiester phosphodiesterase,,protein-coding,WP_003973364.1,glycerophosphodiester phosphodiesterase,237,SLIV_RS10350
NZ_CP009124.1,2384668,2385828,plus,serine hydrolase domain-containing protein,,protein-coding,WP_003973365.1,serine hydrolase domain-containing protein,386,SLIV_RS10355
NZ_CP009124.1,2385845,2386384,minus,HXXEE domain-containing protein,,protein-coding,WP_003973366.1,HXXEE domain-containing protein,179,SLIV_RS10360
NZ_CP009124.1,2386397,2387596,minus,polyamine ABC transporter substrate-binding protein,,protein-coding,WP_016327374.1,polyamine ABC transporter substrate-binding protein,399,SLIV_RS10365
NZ_CP009124.1,2387768,2389207,minus,gamma-aminobutyraldehyde dehydrogenase,,protein-coding,WP_003973368.1,gamma-aminobutyraldehyde dehydrogenase,479,SLIV_RS10370
NZ_CP009124.1,2389373,2389888,plus,Lrp/AsnC family transcriptional regulator,,protein-coding,WP_003973369.1,Lrp/AsnC family transcriptional regulator,171,SLIV_RS10375
NZ_CP009124.1,2389891,2391264,plus,aspartate aminotransferase family protein,,protein-coding,WP_003973370.1,aspartate aminotransferase family protein,457,SLIV_RS10380
NZ_CP009124.1,2391470,2392246,plus,ABC transporter ATP-binding protein,,protein-coding,WP_003973371.1,ABC transporter ATP-binding protein,258,SLIV_RS10385
NZ_CP009124.1,2392228,2393694,plus,hypothetical protein,,protein-coding,WP_038534351.1,hypothetical protein,488,SLIV_RS10390
NZ_CP009124.1,2393800,2394207,plus,VOC family protein,,protein-coding,WP_003973373.1,VOC family protein,135,SLIV_RS10395
NZ_CP009124.1,2394234,2395418,plus,LOG family protein,,protein-coding,WP_016327372.1,LOG family protein,394,SLIV_RS10400
NZ_CP009124.1,2395575,2396279,plus,LAETG motif-containing sortase-dependent surface protein,,protein-coding,WP_016327371.1,LAETG motif-containing sortase-dependent surface protein,234,SLIV_RS10405
NZ_CP009124.1,2396341,2397141,minus,maleylpyruvate isomerase family mycothiol-dependent enzyme,,protein-coding,WP_003973376.1,maleylpyruvate isomerase family mycothiol-dependent enzyme,266,SLIV_RS10410
NZ_CP009124.1,2397166,2398212,minus,ABC transporter ATP-binding protein,,protein-coding,WP_003973377.1,ABC transporter ATP-binding protein,348,SLIV_RS10415
NZ_CP009124.1,2398215,2399897,minus,ABC transporter permease,,protein-coding,WP_003973378.1,ABC transporter permease,560,SLIV_RS10420
NZ_CP009124.1,2399873,2400919,minus,thiamine ABC transporter substrate-binding protein,,protein-coding,WP_046247890.1,thiamine ABC transporter substrate-binding protein,348,SLIV_RS10425
NZ_CP009124.1,2401233,2402339,minus,23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN,rlmN,protein-coding,WP_003973380.1,23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN,368,SLIV_RS10430
NZ_CP009124.1,2402504,2405164,plus,FxSxx-COOH system tetratricopeptide repeat protein,fxsT,protein-coding,WP_003973381.1,FxSxx-COOH system tetratricopeptide repeat protein,886,SLIV_RS10435
NZ_CP009124.1,2405289,2406464,minus,phosphatidate cytidylyltransferase,,protein-coding,WP_003973382.1,phosphatidate cytidylyltransferase,391,SLIV_RS10440
NZ_CP009124.1,2406464,2407021,minus,ribosome recycling factor,frr,protein-coding,WP_003973383.1,ribosome recycling factor,185,SLIV_RS10445
NZ_CP009124.1,2407200,2407961,minus,UMP kinase,pyrH,protein-coding,WP_003973384.1,UMP kinase,253,SLIV_RS10450
NZ_CP009124.1,2408167,2409003,minus,translation elongation factor Ts,tsf,protein-coding,WP_003973385.1,translation elongation factor Ts,278,SLIV_RS10455
NZ_CP009124.1,2409098,2410045,minus,30S ribosomal protein S2,rpsB,protein-coding,WP_003973386.1,30S ribosomal protein S2,315,SLIV_RS10460
NZ_CP009124.1,2410316,2411008,plus,murein hydrolase activator EnvC family protein,,protein-coding,WP_313770338.1,murein hydrolase activator EnvC family protein,230,SLIV_RS10465
NZ_CP009124.1,2410962,2411519,minus,TetR/AcrR family transcriptional regulator,,protein-coding,WP_003973388.1,TetR/AcrR family transcriptional regulator,185,SLIV_RS10470
NZ_CP009124.1,2411648,2412490,minus,RNA polymerase sigma factor WhiG,whiG,protein-coding,WP_003973389.1,RNA polymerase sigma factor WhiG,280,SLIV_RS10475
NZ_CP009124.1,2412773,2414014,minus,DNA-processing protein DprA,dprA,protein-coding,WP_003973390.1,DNA-processing protein DprA,413,SLIV_RS10480
NZ_CP009124.1,2414224,2415849,minus,YifB family Mg chelatase-like AAA ATPase,,protein-coding,WP_016327366.1,YifB family Mg chelatase-like AAA ATPase,541,SLIV_RS10485
NZ_CP009124.1,2415849,2416211,minus,YraN family protein,,protein-coding,WP_037666262.1,YraN family protein,120,SLIV_RS10490
NZ_CP009124.1,2416300,2416608,minus,DUF2469 domain-containing protein,,protein-coding,WP_003965949.1,DUF2469 domain-containing protein,102,SLIV_RS10495
NZ_CP009124.1,2416665,2417195,minus,NUDIX hydrolase,,protein-coding,WP_016327363.1,NUDIX hydrolase,176,SLIV_RS10500
NZ_CP009124.1,2417185,2417961,minus,signal peptidase I,lepB,protein-coding,WP_003973394.1,signal peptidase I,258,SLIV_RS10505
NZ_CP009124.1,2418066,2419076,minus,signal peptidase I,lepB,protein-coding,WP_003973395.1,signal peptidase I,336,SLIV_RS10510
NZ_CP009124.1,2418967,2420049,minus,uncharacterized gene,lepB,pseudogene,,,,SLIV_RS38165
NZ_CP009124.1,2420042,2420821,minus,signal peptidase I,lepB,protein-coding,WP_011030325.1,signal peptidase I,259,SLIV_RS10515
NZ_CP009124.1,2420867,2421217,minus,50S ribosomal protein L19,rplS,protein-coding,WP_003973398.1,50S ribosomal protein L19,116,SLIV_RS10520
NZ_CP009124.1,2421354,2422187,minus,tRNA (guanosine(37)-N1)-methyltransferase TrmD,trmD,protein-coding,WP_003973399.1,tRNA (guanosine(37)-N1)-methyltransferase TrmD,277,SLIV_RS10525
NZ_CP009124.1,2422187,2422753,minus,ribosome maturation factor RimM,rimM,protein-coding,WP_003973400.1,ribosome maturation factor RimM,188,SLIV_RS10530
NZ_CP009124.1,2422865,2423104,minus,RNA-binding protein,,protein-coding,WP_003973401.1,RNA-binding protein,79,SLIV_RS10535
NZ_CP009124.1,2423107,2423526,minus,30S ribosomal protein S16,rpsP,protein-coding,WP_003973402.1,30S ribosomal protein S16,139,SLIV_RS10540
NZ_CP009124.1,2423782,2424378,minus,hypothetical protein,,protein-coding,WP_003973403.1,hypothetical protein,198,SLIV_RS10545
NZ_CP009124.1,2425048,2425935,plus,hypothetical protein,,protein-coding,WP_003973404.1,hypothetical protein,295,SLIV_RS10550
NZ_CP009124.1,2426086,2426703,plus,hypothetical protein,,protein-coding,WP_003973405.1,hypothetical protein,205,SLIV_RS10555
NZ_CP009124.1,2426721,2428667,minus,ATP-dependent zinc metalloprotease FtsH,ftsH,protein-coding,WP_003973406.1,ATP-dependent zinc metalloprotease FtsH,648,SLIV_RS10560
NZ_CP009124.1,2428784,2430334,minus,signal recognition particle protein,ffh,protein-coding,WP_016327355.1,signal recognition particle protein,516,SLIV_RS10565
NZ_CP009124.1,2430433,2432955,minus,[protein-PII] uridylyltransferase,,protein-coding,WP_037666266.1,[protein-PII] uridylyltransferase,840,SLIV_RS10570
NZ_CP009124.1,2433005,2433343,minus,P-II family nitrogen regulator,,protein-coding,WP_003973409.1,P-II family nitrogen regulator,112,SLIV_RS10575
NZ_CP009124.1,2433340,2434686,minus,ammonium transporter,,protein-coding,WP_003973410.1,ammonium transporter,448,SLIV_RS10580
NZ_CP009124.1,2434996,2436498,minus,transcriptional repressor NsdA,nsdA,protein-coding,WP_003973411.1,transcriptional repressor NsdA,500,SLIV_RS10585
NZ_CP009124.1,2436945,2437616,plus,bifunctional DNA primase/polymerase,,protein-coding,WP_003973412.1,bifunctional DNA primase/polymerase,223,SLIV_RS10590
NZ_CP009124.1,2437747,2438955,minus,signal recognition particle-docking protein FtsY,ftsY,protein-coding,WP_016327350.1,signal recognition particle-docking protein FtsY,402,SLIV_RS10595
NZ_CP009124.1,2439139,2440596,plus,cytosine permease,,protein-coding,WP_003973415.1,cytosine permease,485,SLIV_RS10600
NZ_CP009124.1,2440722,2442140,minus,sugar porter family MFS transporter,,protein-coding,WP_003971990.1,sugar porter family MFS transporter,472,SLIV_RS10605
NZ_CP009124.1,2442328,2445888,minus,chromosome segregation protein SMC,smc,protein-coding,WP_011030315.1,chromosome segregation protein SMC,1186,SLIV_RS10610
NZ_CP009124.1,2446199,2446411,minus,hypothetical protein,,protein-coding,WP_003973418.1,hypothetical protein,70,SLIV_RS10615
NZ_CP009124.1,2446791,2447072,minus,acylphosphatase,,protein-coding,WP_003973419.1,acylphosphatase,93,SLIV_RS10620
NZ_CP009124.1,2447256,2448446,plus,CAP domain-containing protein,,protein-coding,WP_003973420.1,CAP domain-containing protein,396,SLIV_RS10625
NZ_CP009124.1,2448554,2448958,plus,winged helix-turn-helix transcriptional regulator,,protein-coding,WP_003973421.1,winged helix-turn-helix transcriptional regulator,134,SLIV_RS10630
